   0.138734733E-01  -0.883967650E-02   0.369864485E+03   0.902069968E-03
   0.416248997E-01  -0.901479675E+01   0.246513293E+03   0.902214353E-03
   0.693897703E-01  -0.180195731E+02   0.246264757E+03   0.902647668E-03
   0.971770642E-01  -0.270190726E+02   0.245823847E+03   0.903370385E-03
   0.124995785E+00  -0.360091690E+02   0.245190231E+03   0.904383289E-03
   0.152854971E+00  -0.449856913E+02   0.244363479E+03   0.905687466E-03
   0.180763703E+00  -0.539444090E+02   0.243343065E+03   0.907284295E-03
   0.208731113E+00  -0.628810171E+02   0.242128364E+03   0.909175434E-03
   0.236766394E+00  -0.717911196E+02   0.240718658E+03   0.911362798E-03
   0.264878806E+00  -0.806702141E+02   0.239113133E+03   0.913848538E-03
   0.293077683E+00  -0.895136740E+02   0.237310882E+03   0.916635012E-03
   0.321372440E+00  -0.983167309E+02   0.235310911E+03   0.919724750E-03
   0.349772572E+00  -0.107074456E+03   0.233112137E+03   0.923120407E-03
   0.378287664E+00  -0.115781741E+03   0.230713396E+03   0.926824719E-03
   0.406927387E+00  -0.124433277E+03   0.228113447E+03   0.930840436E-03
   0.435701497E+00  -0.133023531E+03   0.225310976E+03   0.935170249E-03
   0.464619832E+00  -0.141546727E+03   0.222304608E+03   0.939816709E-03
   0.493692304E+00  -0.149996820E+03   0.219092911E+03   0.944782118E-03
   0.522928889E+00  -0.158367470E+03   0.215674409E+03   0.950068412E-03
   0.552339611E+00  -0.166652015E+03   0.212047598E+03   0.955677023E-03
   0.581934524E+00  -0.174843446E+03   0.208210955E+03   0.961608708E-03
   0.611723681E+00  -0.182934377E+03   0.204162962E+03   0.967863365E-03
   0.641717108E+00  -0.190917014E+03   0.199902126E+03   0.974439805E-03
   0.671924758E+00  -0.198783127E+03   0.195427002E+03   0.981335506E-03
   0.702356464E+00  -0.206524019E+03   0.190736228E+03   0.988546317E-03
   0.733021879E+00  -0.214130495E+03   0.185828554E+03   0.996066129E-03
   0.763930408E+00  -0.221592832E+03   0.180702887E+03   0.100388651E-02
   0.795091117E+00  -0.228900754E+03   0.175358338E+03   0.101199627E-02
   0.826512645E+00  -0.236043406E+03   0.169794270E+03   0.102038104E-02
   0.858203083E+00  -0.243009333E+03   0.164010367E+03   0.102902274E-02
   0.890169849E+00  -0.249786470E+03   0.158006698E+03   0.103789906E-02
   0.922419540E+00  -0.256362132E+03   0.151783795E+03   0.104698292E-02
   0.954957769E+00  -0.262723022E+03   0.145342741E+03   0.105624185E-02
   0.987788981E+00  -0.268855252E+03   0.138685263E+03   0.106563749E-02
   0.102091626E+01  -0.274744374E+03   0.131813833E+03   0.107512502E-02
